# ID,X,Y,scary,happy,sad,peaceful
1,    15.849,     5.237,     1.289,     4.467,     1.711,     3.133
2,    20.464,     2.183,     1.067,     5.444,     1.489,     4.489
3,    -6.404,    -7.436,     2.022,     1.489,     3.778,     2.711
4,     7.504,    11.929,     2.289,     4.111,     1.267,     1.489
5,    -6.029,   -16.463,     1.400,     1.467,     5.044,     3.844
6,     6.627,    -6.544,     1.644,     2.511,     3.044,     3.156
7,   -10.621,    -5.985,     2.644,     1.333,     4.222,     2.200
8,    16.664,     8.019,     1.378,     4.667,     1.400,     2.756
9,   -17.569,    -1.293,     3.956,     1.222,     4.089,     2.022
10,    11.638,    -1.271,     1.333,     3.356,     2.000,     3.178
11,     6.807,    -2.361,     1.444,     2.867,     2.600,     2.644
12,   -16.035,    -4.089,     3.756,     1.244,     4.867,     2.133
13,   -19.974,     9.785,     4.422,     1.822,     1.978,     1.378
14,    -9.457,    -8.725,     2.267,     1.467,     4.467,     2.689
15,   -21.425,     6.804,     4.600,     1.422,     2.778,     1.467
16,     6.526,    10.576,     2.289,     3.933,     1.489,     1.756
17,    18.541,     0.607,     1.111,     4.378,     1.689,     4.333
18,    -2.610,   -16.776,     1.222,     1.889,     4.289,     4.222
19,    -7.824,    -5.007,     2.156,     1.644,     4.000,     1.978
20,    -0.327,    -9.870,     1.533,     1.978,     3.622,     3.044
21,    10.943,    -6.157,     1.333,     2.933,     2.689,     3.756
22,    -8.239,    -6.754,     2.311,     1.578,     4.022,     2.533
23,     7.477,    10.507,     2.311,     4.067,     1.644,     1.733
24,    -1.508,    -9.827,     1.467,     2.067,     3.822,     2.978
25,   -23.264,    10.144,     5.200,     1.178,     2.733,     1.644
26,   -20.776,     5.744,     4.600,     1.667,     3.044,     1.489
27,     0.975,     9.337,     3.200,     3.133,     1.822,     1.733
28,    -3.019,   -13.530,     1.200,     1.822,     4.444,     3.333
29,   -20.455,     4.103,     4.622,     1.244,     3.333,     1.489
30,    14.961,    14.027,     1.289,     5.822,     1.200,     1.778
31,    -3.215,    -0.993,     2.044,     2.222,     3.356,     1.689
32,     1.157,     7.794,     2.578,     3.311,     2.378,     1.378
33,   -15.752,     3.747,     3.689,     1.511,     3.067,     1.511
34,    16.391,     0.319,     1.067,     4.044,     1.956,     3.822
35,    -5.683,    -4.628,     2.244,     2.089,     3.733,     2.467
36,   -24.407,    11.300,     5.644,     1.133,     3.133,     1.356
37,   -13.907,     0.717,     3.156,     1.711,     3.600,     1.578
38,    16.120,     9.016,     1.156,     4.800,     1.644,     2.644
39,   -10.577,     3.191,     3.067,     1.911,     2.756,     2.222
40,    -5.110,   -15.616,     1.133,     1.467,     4.733,     3.733
41,     6.370,    -3.821,     1.289,     3.133,     3.067,     2.800
42,     0.013,     9.477,     3.400,     2.933,     1.800,     1.889
43,     5.229,     9.927,     2.467,     3.600,     1.467,     1.889
44,    11.479,    -9.063,     1.178,     2.689,     3.200,     4.444
